hz,magnitude
8600,55844
8620,35172.4
8640,33417.3
8660,45635.8
8680,144072
8700,97698.4
8720,41388.4
8740,32881.6
8760,37032.8
8780,66589.1
8800,575146
8820,55733.1
8840,35153.2
8860,33427.1
8880,45698.1
8900,144961
8920,97306.2
8940,41343.7
8960,32877.5
8980,37060.1
9000,66759.2
9020,561116
9040,55625.5
9060,35133.4
9080,33436.6
9100,45762.5
9120,145852
9140,96922.8
9160,41297.7
9180,32873.7
9200,37088.7
9220,66926.9
9240,547788
9260,55515.6
9280,35114.4
9300,33446.6
9320,45825.2
9340,146764
9360,96537.2
9380,41253.4
9400,32869.7
9420,37116.2
9440,67099
9460,535048
9480,55409
9500,35094.8
9520,33456.2
9540,45890.2
9560,147679
9580,96160.3
9600,41207.7
9620,32866
9640,37145
9660,67268.6
9680,522919
9700,55300.2
9720,35076
9740,33466.3
9760,45953.5
9780,148614
9800,95781
9820,41163.8
9840,32862.1
9860,37172.8
9880,67442.8
9900,511298
9920,55194.7
9940,35056.5
9960,33476.1
9980,46019
10000,149552
10020,95410.4
10040,41118.5
10060,32858.5
10080,37201.8
10100,67614.4
10120,500214
10140,55087
10160,35037.9
10180,33486.4
10200,46082.9
10220,150512
10240,95037.3
10260,41074.9
10280,32854.9
10300,37229.8
10320,67790.7
10340,489572
10360,54982.5
10380,35018.7
10400,33496.3
10420,46149
10440,151476
10460,94672.8
10480,41030
10500,32851.4
10520,37259.1
10540,67964.4
10560,479402
10580,54875.8
10600,35000.2
10620,33506.8
10640,46213.3
10660,152461
10680,94305.9
10700,40986.7
10720,32847.8
10740,37287.4
10760,68142.8
10780,469620
10800,54772.3
10820,34981.2
10840,33516.8
10860,46280
10880,153450
10900,93947.4
10920,40942.2
10940,32844.5
10960,37316.8
10980,68318.5
11000,460257
11020,54666.7
11040,34962.9
11060,33527.4
11080,46344.9
11100,154462
11120,93586.4
11140,40899.3
11160,32841.1
11180,37345.4
11200,68499
11220,451234
11240,54564.2
11260,34944
11280,33537.7
11300,46412.2
11320,155478
11340,93233.7
11360,40855.1
11380,32837.9
11400,37375.1
11420,68677
11440,442585
11460,54459.6
11480,34925.9
11500,33548.4
11520,46477.7
11540,156518
11560,92878.5
11580,40812.5
11600,32834.6
11620,37403.9
11640,68859.6
11660,434236
11680,54358.1
11700,34907.2
11720,33558.8
11740,46545.5
11760,157562
11780,92531.5
11800,40768.7
11820,32831.6
11840,37433.8
11860,69039.7
11880,426223
11900,54254.5
11920,34889.3
11940,33569.6
11960,46611.5
11980,158630
12000,92182
12020,40726.5
12040,32828.4
12060,37462.8
12080,69224.6
12100,418477
12120,54154
12140,34870.8
12160,33580.2
12180,46679.9
12200,159704
12220,91840.6
12240,40682.9
12260,32825.5
12280,37493.1
12300,69406.9
12320,411032
12340,54051.4
12360,34853.1
12380,33591.2
12400,46746.5
12420,160802
12440,91496.6
12460,40641.1
12480,32822.5
12500,37522.3
12520,69594
12540,403824
12560,53951.9
12580,34834.7
12600,33420.5
12620,46815.5
12640,161906
12660,91160.6
12680,40597.9
12700,32819.7
12720,37552.8
12740,69778.6
12760,396889
12780,53850.2
12800,34817.2
12820,33613.1
12840,46882.7
12860,163035
12880,90822.1
12900,40556.4
12920,32816.8
12940,37582.3
12960,69968
12980,390166
13000,53751.7
13020,34799
13040,33623.9
13060,46952.3
13080,164171
13100,90491.4
13120,40513.6
13140,32814.1
13160,37613
13180,70154.8
13200,383690
13220,53651
13240,34781.7
13260,33635.2
13280,47020.1
13300,165332
13320,90158.1
13340,40472.4
13360,32811.4
13380,37642.7
13400,70346.6
13420,377404
13440,53553.4
13460,34763.7
13480,33646.2
13500,47090.2
13520,166501
13540,89832.6
13560,40429.9
13580,32808.9
13600,37673.7
13620,70535.7
13640,371344
13660,53453.6
13680,34746.5
13700,33657.7
13720,47158.6
13740,167697
13760,89504.6
13780,40389.1
13800,32806.3
13820,37703.7
13840,70729.9
13860,365454
13880,53357
13900,34728.7
13920,33668.8
13940,47229.4
13960,168900
13980,89184.1
14000,40346.9
14020,32803.9
14040,37734.9
14060,70921.4
14080,359770
14100,53258.2
14120,34711.7
14140,33680.4
14160,47298.4
14180,170131
14200,88861.1
14220,40306.4
14240,32801.4
14260,37765.1
14280,71117.9
14300,354240
14320,53162.4
14340,34694
14360,33691.7
14380,47369.8
14400,171371
14420,88545.6
14440,40264.6
14460,32799.1
14480,37796.6
14500,71311.9
14520,348898
14540,53064.6
14560,34677.2
14580,33703.5
14600,47439.4
14620,172639
14640,88227.5
14660,40224.4
14680,32796.8
14700,37827.1
14720,71510.9
14740,343696
14760,52969.7
14780,34659.7
14800,33714.9
14820,47511.4
14840,173916
14860,87916.9
14880,40182.9
14900,32794.7
14920,37858.9
14940,71707.2
14960,338667
14980,52872.8
15000,34643.1
15020,33726.9
15040,47581.6
15060,175223
15080,87603.7
15100,40143.1
15120,32792.5
15140,37889.6
15160,71908.8
15180,333764
15200,52778.9
15220,34625.8
15240,33738.4
15260,47654.2
15280,176540
15300,87297.7
15320,40101.9
15340,32790.5
15360,37921.6
15380,72107.6
15400,329022
15420,52682.8
15440,34609.3
15460,33750.6
15480,47725
15500,177887
15520,86989.2
15540,40062.4
15560,32788.4
15580,37952.6
15600,72311.7
15620,324393
15640,52589.8
15660,34592.2
15680,33762.3
15700,47798.3
15720,179245
15740,86688
15760,40021.6
15780,32786.5
15800,37984.9
15820,72513.1
15840,319913
15860,52494.7
15880,34575.8
15900,33774.5
15920,47869.7
15940,180635
15960,86384.1
15980,39982.3
16000,32784.6
16020,38016.1
16040,72719.7
16060,315537
16080,52402.5
16100,34558.9
16120,33786.4
16140,47943.6
16160,182036
16180,86087.3
16200,39941.9
16220,32782.9
16240,38048.7
16260,72923.7
16280,311298
16300,52308.2
16320,34542.8
16340,33798.8
16360,48015.7
16380,183471
16400,85788
16420,39903
16440,32781.1
16460,38080.2
16480,73133
16500,307153
16520,52216.9
16540,34526
16560,33810.9
16580,48090.2
16600,184917
16620,85495.6
16640,39862.8
16660,32779.5
16680,38113
16700,73339.6
16720,303136
16740,52123.6
16760,34510
16780,33823.4
16800,48163
16820,186398
16840,85200.7
16860,39824.2
16880,32777.9
16900,38144.8
16920,73551.6
16940,299206
16960,52033.1
16980,34493.4
17000,33835.6
17020,48238.2
17040,187893
17060,84912.7
17080,39784.4
17100,32776.4
17120,38177.8
17140,73760.9
17160,295394
17180,51940.6
17200,34477.6
17220,33848.4
17240,48311.5
17260,189423
17280,84622.1
17300,39746.1
17320,32774.9
17340,38209.9
17360,73975.7
17380,291662
17400,51851
17420,34461.2
17440,33860.7
17460,48387.4
17480,190967
17500,84338.4
17520,39706.6
17540,32773.5
17560,38243.2
17580,74187.7
17600,288040
17620,51759.3
17640,34445.5
17660,33873.6
17680,48461.4
17700,192548
17720,84052
17740,39668.6
17760,32772.1
17780,38275.5
17800,74405.2
17820,284491
17840,51670.6
17860,34429.3
17880,33886.1
17900,48537.9
17920,194145
17940,83772.4
17960,39629.4
17980,32770.9
18000,38309.1
18020,74620.1
18040,281046
18060,51579.8
18080,34413.8
18100,33899.1
18120,48612.6
18140,195780
18160,83490.2
18180,39591.7
18200,32769.7
18220,38341.7
18240,74840.4
18260,277667
18280,51491.8
18300,34397.8
18320,33911.8
18340,48689.8
18360,197432
18380,83214.7
18400,39552.8
18420,32768.6
18440,38375.6
18460,75058.1
18480,274385
18500,51401.8
18520,34382.4
18540,33925
18560,48765.2
18580,199124
18600,82936.5
18620,39515.4
18640,32767.5
18660,38408.4
18680,75281.3
18700,271164
18720,51314.7
18740,34366.5
18760,33937.8
18780,48843
18800,200834
18820,82665
18840,39476.9
18860,32766.5
18880,38442.5
18900,75401.3
18920,268035
18940,51225.5
18960,34351.4
18980,33951.2
19000,48919.1
19020,202586
19040,82390.8
19060,39439.8
19080,32765.6
19100,38475.6
19120,75728.1
19140,264962
19160,51139.2
19180,34335.7
19200,33964.1
19220,48997.6
19240,204357
19260,82123.2
19280,39401.5
19300,32764.7
19320,38510.1
19340,75951.6
19360,261974
19380,51050.9
19400,34320.7
19420,33977.7
19440,49074.3
19460,206172
19480,81852.9
19500,39364.8
19520,32763.9
19540,38543.4
19560,76180.8
19580,259038
19600,50965.3
19620,34305.1
19640,33990.7
19660,49153.6
19680,208007
19700,81589.1
19720,39326.8
19740,32763.2
19760,38578.2
19780,76407.4
19800,256183
19820,50877.8
19840,34290.3
19860,34004.5
19880,49231
19900,209889
19920,81322.6
19940,39290.3
19960,32762.5
19980,38611.8
20000,76639.6
20020,253376
20040,50793
20060,34274.9
20080,34017.7
20100,49311
20120,211792
20140,81062.6
20160,39252.7
20180,32761.9
20200,38646.8
20220,76869.2
20240,250645
20260,50706.3
20280,34260.2
20300,34031.6
20320,49389.1
20340,213744
20360,80799.8
20380,39216.5
20400,32761.4
20420,38680.7
20440,77104.6
20460,247958
20480,50622.3
20500,34245
20520,34045
20540,49469.8
20560,215719
20580,80543.4
20600,39179.1
20620,32760.9
20640,38716
20660,77337.3
20680,245343
20700,50536.4
20720,34230.5
20740,34059
20760,49548.6
20780,217745
20800,80284.3
20820,39143.2
20840,32760.5
20860,38750.2
20880,77575.9
20900,242769
20920,50453.2
20940,34215.5
20960,34072.6
20980,49630
21000,219797
21020,80031.5
21040,39106.2
21060,32760.2
21080,38785.8
21100,77811.8
21120,240263
21140,50368
21160,34201.1
21180,34086.8
21200,49709.5
21220,221901
21240,79776
21260,39070.6
21280,32759.9
21300,38820.3
21320,78053.6
21340,237794
21360,50285.5
21380,34186.2
21400,34100.5
21420,49791.7
21440,224033
21460,79526.7
21480,39033.8
21500,32759.7
21520,38856.1
21540,78292.8
21560,235390
21580,50201.1
21600,34172
21620,34114.9
21640,49871.9
21660,226221
21680,79274.8
21700,38998.5
21720,32759.6
21740,38890.9
21760,78537.9
21780,233021
21800,50119.4
21820,34157.3
21840,34128.8
21860,49954.8
21880,228438
21900,79028.9
21920,38962.1
21940,32759.5
21960,38927
21980,78780.4
22000,230713
22020,50035.8
22040,34143.3
22060,34143.3
22080,50035.8
22100,230713
22120,78780.4
22140,38927
22160,32759.5
22180,38962.1
22200,79028.9
22220,228438
22240,49954.8
22260,34128.8
22280,34157.3
22300,50119.4
22320,233021
22340,78537.9
22360,38890.9
22380,32759.6
22400,38998.5
22420,79274.8
22440,226221
22460,49871.9
22480,34114.9
22500,34172
22520,50201.1
22540,235390
22560,78292.8
22580,38856.1
22600,32759.7
22620,39033.8
22640,79526.7
22660,224033
22680,49791.7
22700,34100.5
22720,34186.2
22740,50285.5
22760,237794
22780,78053.6
22800,38820.3
22820,32759.9
22840,39070.6
22860,79776
22880,221901
22900,49709.5
22920,34086.8
22940,34201.1
22960,50368
22980,240263
23000,77811.8
23020,38785.8
23040,32760.2
23060,39106.2
23080,80031.5
23100,219797
23120,49630
23140,34072.6
23160,34215.5
23180,50453.2
23200,242769
23220,77575.9
23240,38750.2
23260,32760.5
23280,39143.2
23300,80284.3
23320,217745
23340,49548.6
23360,34059
23380,34230.5
23400,50536.4
23420,245343
23440,77337.3
23460,38716
23480,32760.9
23500,39179.1
23520,80543.4
23540,215719
23560,49469.8
23580,34045
23600,34245
23620,50622.3
23640,247958
23660,77104.6
23680,38680.7
23700,32761.4
23720,39216.5
23740,80799.8
23760,213744
23780,49389.1
23800,34031.6
23820,34260.2
23840,50706.3
23860,250645
23880,76869.2
23900,38646.8
23920,32761.9
23940,39252.7
23960,81062.6
23980,211792
24000,49311
24020,34017.7
24040,34274.9
24060,50793
24080,253376
24100,76639.6
24120,38611.8
24140,32762.5
24160,39290.3
24180,81322.6
24200,209889
24220,49231
24240,34004.5
24260,34290.3
24280,50877.8
24300,256183
24320,76407.4
24340,38578.2
24360,32763.2
24380,39326.8
24400,81589.1
24420,208007
24440,49153.6
24460,33990.7
24480,34305.1
24500,50965.3
24520,259038
24540,76180.8
24560,38543.4
24580,32763.9
24600,39364.8
24620,81852.9
24640,206172
24660,49074.3
24680,33977.7
24700,34320.7
24720,51050.9
24740,261974
24760,75951.6
24780,38510.1
24800,32764.7
24820,39401.5
24840,82123.2
24860,204357
24880,48997.6
24900,33964.1
24920,34335.7
24940,51139.2
24960,264962
24980,75728.1
25000,38475.6
25020,32765.6
25040,39439.8
25060,82390.8
25080,202586
25100,48919.1
25120,33951.2
25140,34351.4
25160,51225.5
25180,268035
25200,75401.3
25220,38442.5
25240,32766.5
25260,39476.9
25280,82665
25300,200834
25320,48843
25340,33937.8
25360,34366.5
25380,51314.7
25400,271164
25420,75281.3
25440,38408.4
25460,32767.5
25480,39515.4
25500,82936.5
25520,199124
25540,48765.2
25560,33925
25580,34382.4
25600,51401.8
25620,274385
25640,75058.1
25660,38375.6
25680,32768.6
25700,39552.8
25720,83214.7
25740,197432
25760,48689.8
25780,33911.8
25800,34397.8
25820,51491.8
25840,277667
25860,74840.4
25880,38341.7
25900,32769.7
25920,39591.7
25940,83490.2
25960,195780
25980,48612.6
26000,33899.1
26020,34413.8
26040,51579.8
26060,281046
26080,74620.1
26100,38309.1
26120,32770.9
26140,39629.4
26160,83772.4
26180,194145
26200,48537.9
26220,33886.1
26240,34429.3
26260,51670.6
26280,284491
26300,74405.2
26320,38275.5
26340,32772.1
26360,39668.6
26380,84052
26400,192548
26420,48461.4
26440,33873.6
26460,34445.5
26480,51759.3
26500,288040
26520,74187.7
26540,38243.2
26560,32773.5
26580,39706.6
26600,84338.4
26620,190967
26640,48387.4
26660,33860.7
26680,34461.2
26700,51851
26720,291662
26740,73975.7
26760,38209.9
26780,32774.9
26800,39746.1
26820,84622.1
26840,189423
26860,48311.5
26880,33848.4
26900,34477.6
26920,51940.6
26940,295394
26960,73760.9
26980,38177.8
27000,32776.4
27020,39784.4
27040,84912.7
27060,187893
27080,48238.2
27100,33835.6
27120,34493.4
27140,52033.1
27160,299206
27180,73551.6
27200,38144.8
27220,32777.9
27240,39824.2
27260,85200.7
27280,186398
27300,48163
27320,33823.4
27340,34510
27360,52123.6
27380,303136
27400,73339.6
27420,38113
27440,32779.5
27460,39862.8
27480,85495.6
27500,184917
27520,48090.2
27540,33810.9
27560,34526
27580,52216.9
27600,307153
27620,73133
27640,38080.2
27660,32781.1
27680,39903
27700,85788
27720,183471
27740,48015.7
27760,33798.8
27780,34542.8
27800,52308.2
27820,311298
27840,72923.7
27860,38048.7
27880,32782.9
27900,39941.9
27920,86087.3
27940,182036
27960,47943.6
27980,33786.4
28000,34558.9
28020,52402.5
28040,315537
28060,72719.7
28080,38016.1
28100,32784.6
28120,39982.3
28140,86384.1
28160,180635
28180,47869.7
28200,33774.5
28220,34575.8
28240,52494.7
28260,319913
28280,72513.1
28300,37984.9
28320,32786.5
28340,40021.6
28360,86688
28380,179245
28400,47798.3
28420,33762.3
28440,34592.2
28460,52589.8
28480,324393
28500,72311.7
28520,37952.6
28540,32788.4
28560,40062.4
28580,86989.2
28600,177887
28620,47725
28640,33750.6
28660,34609.3
28680,52682.8
28700,329022
28720,72107.6
28740,37921.6
28760,32790.5
28780,40101.9
28800,87297.7
28820,176540
28840,47654.2
28860,33738.4
28880,34625.8
28900,52778.9
28920,333764
28940,71908.8
28960,37889.6
28980,32792.5
29000,40143.1
29020,87603.7
29040,175223
29060,47581.6
29080,33726.9
29100,34643.1
29120,52872.8
29140,338667
29160,71707.2
29180,37858.9
29200,32794.7
29220,40182.9
29240,87916.9
29260,173916
29280,47511.4
29300,33714.9
29320,34659.7
29340,52969.7
29360,343696
29380,71510.9
29400,37827.1
29420,32796.8
29440,40224.4
29460,88227.5
29480,172639
29500,47439.4
29520,33703.5
29540,34677.2
29560,53064.6
29580,348898
29600,71311.9
29620,37796.6
29640,32799.1
29660,40264.6
29680,88545.6
29700,171371
29720,47369.8
29740,33691.7
29760,34694
29780,53162.4
29800,354240
29820,71117.9
29840,37765.1
29860,32801.4
29880,40306.4
29900,88861.1
29920,170131
29940,47298.4
29960,33680.4
29980,34711.7
30000,53258.2
30020,359770
30040,70921.4
30060,37734.9
30080,32803.9
30100,40346.9
30120,89184.1
30140,168900
30160,47229.4
30180,33668.8
30200,34728.7
30220,53357
30240,365454
30260,70729.9
30280,37703.7
30300,32806.3
30320,40389.1
30340,89504.6
30360,167697
30380,47158.6
30400,33657.7
30420,34746.5
30440,53453.6
30460,371344
30480,70535.7
30500,37673.7
30520,32808.9
30540,40429.9
30560,89832.6
30580,166501
30600,47090.2
30620,33646.2
30640,34763.7
30660,53553.4
30680,377404
30700,70346.6
30720,37642.7
30740,32811.4
30760,40472.4
30780,90158.1
30800,165332
30820,47020.1
30840,33635.2
30860,34781.7
30880,53651
30900,383690
30920,70154.8
30940,37613
30960,32814.1
30980,40513.6
31000,90491.4
31020,164171
31040,46952.3
31060,33623.9
31080,34799
31100,53751.7
31120,390166
31140,69968
31160,37582.3
31180,32816.8
31200,40556.4
31220,90822.1
31240,163035
31260,46882.7
31280,33613.1
31300,34817.2
31320,53850.2
31340,396889
31360,69778.6
31380,37552.8
31400,32819.7
31420,40597.9
31440,91160.6
31460,161906
31480,46815.5
31500,33420.5
31520,34834.7
31540,53951.9
31560,403824
31580,69594
31600,37522.3
31620,32822.5
31640,40641.1
31660,91496.6
31680,160802
31700,46746.5
31720,33591.2
31740,34853.1
31760,54051.4
31780,411032
31800,69406.9
31820,37493.1
31840,32825.5
31860,40682.9
31880,91840.6
31900,159704
31920,46679.9
31940,33580.2
31960,34870.8
31980,54154
32000,418477
32020,69224.6
32040,37462.8
32060,32828.4
32080,40726.5
32100,92182
32120,158630
32140,46611.5
32160,33569.6
32180,34889.3
32200,54254.5
32220,426223
32240,69039.7
32260,37433.8
32280,32831.6
32300,40768.7
32320,92531.5
32340,157562
32360,46545.5
32380,33558.8
32400,34907.2
32420,54358.1
32440,434236
32460,68859.6
32480,37403.9
32500,32834.6
32520,40812.5
32540,92878.5
32560,156518
32580,46477.7
32600,33548.4
32620,34925.9
32640,54459.6
32660,442585
32680,68677
32700,37375.1
32720,32837.9
32740,40855.1
32760,93233.7
32780,155478
32800,46412.2
32820,33537.7
32840,34944
32860,54564.2
32880,451234
32900,68499
32920,37345.4
32940,32841.1
32960,40899.3
32980,93586.4
33000,154462
33020,46344.9
33040,33527.4
33060,34962.9
33080,54666.7
33100,460257
33120,68318.5
33140,37316.8
33160,32844.5
33180,40942.2
33200,93947.4
33220,153450
33240,46280
33260,33516.8
33280,34981.2
33300,54772.3
33320,469620
33340,68142.8
33360,37287.4
33380,32847.8
33400,40986.7
33420,94305.9
33440,152461
33460,46213.3
33480,33506.8
33500,35000.2
33520,54875.8
33540,479402
33560,67964.4
33580,37259.1
33600,32851.4
33620,41030
33640,94672.8
33660,151476
33680,46149
33700,33496.3
33720,35018.7
33740,54982.5
33760,489572
33780,67790.7
33800,37229.8
33820,32854.9
33840,41074.9
33860,95037.3
33880,150512
33900,46082.9
33920,33486.4
33940,35037.9
33960,55087
33980,500214
34000,67614.4
34020,37201.8
34040,32858.5
34060,41118.5
34080,95410.4
34100,149552
34120,46019
34140,33476.1
34160,35056.5
34180,55194.7
34200,511298
34220,67442.8
34240,37172.8
34260,32862.1
34280,41163.8
34300,95781
34320,148614
34340,45953.5
34360,33466.3
34380,35076
34400,55300.2
34420,522919
34440,67268.6
34460,37145
34480,32866
34500,41207.7
34520,96160.3
34540,147679
34560,45890.2
34580,33456.2
34600,35094.8
34620,55409
34640,535048
34660,67099
34680,37116.2
34700,32869.7
34720,41253.4
34740,96537.2
34760,146764
34780,45825.2
34800,33446.6
34820,35114.4
34840,55515.6
34860,547788
34880,66926.9
34900,37088.7
34920,32873.7
34940,41297.7
34960,96922.8
