hz,magnitude
8560,33880.3
8580,1.1793e+06
8600,34437.9
8620,58094.5
8640,51715.7
8660,35573.1
8680,286259
8700,33244.7
8720,74297.4
8740,44455.5
8760,38259.9
8780,128802
8800,32773.3
8820,106014
8840,39688.1
8860,42313.4
8880,84196.2
8900,32974
8920,191757
8940,36512.5
8960,48425.1
8980,63494.1
9000,33867.6
9020,1.12179e+06
9040,34453.9
9060,57973.6
9080,51805.9
9100,35551.7
9120,289844
9140,33252.9
9160,74082.6
9180,44513.7
9200,38227.1
9220,129504
9240,32774.7
9260,105551
9280,39726.9
9300,42264.2
9320,84481.3
9340,32968.6
9360,190194
9380,36538.2
9400,48350.1
9420,63644.7
9440,33855
9460,1.06963e+06
9480,34469.9
9500,57853.3
9520,51896.5
9540,35530.3
9560,293521
9580,33261.2
9600,73869.3
9620,44572.2
9640,38194.4
9660,130214
9680,32776.1
9700,105092
9720,39765.8
9740,42215.2
9760,84768.4
9780,32963.3
9800,188657
9820,36563.9
9840,48275.5
9860,63796.1
9880,33842.5
9900,1.0221e+06
9920,34486
9940,57733.7
9960,51987.6
9980,35509.1
10000,297292
10020,33269.6
10040,73657.2
10060,44630.9
10080,38161.9
10100,130931
10120,32777.6
10140,104638
10160,39804.9
10180,42166.4
10200,85057.7
10220,32958.1
10240,187145
10260,36589.8
10280,48201.3
10300,63948.5
10320,33830
10340,978624
10360,34502.2
10380,57614.6
10400,52079.1
10420,35488
10440,301163
10460,33278
10480,73446.6
10500,44689.9
10520,38129.4
10540,131657
10560,32779.2
10580,104188
10600,39844.1
10620,42117.8
10640,85349.2
10660,32953
10680,185658
10700,36615.8
10720,48127.3
10740,64101.6
10760,33817.7
10780,938695
10800,34518.5
10820,57496.2
10840,52171
10860,35467
10880,305136
10900,33286.5
10920,73237.3
10940,44749.1
10960,38097.2
10980,132392
11000,32780.8
11020,103742
11040,39883.5
11060,42069.4
11080,85642.8
11100,32947.9
11120,184194
11140,36641.9
11160,48053.7
11180,64255.7
11200,33805.4
11220,901899
11240,34534.9
11260,57378.3
11280,52263.3
11300,35446.1
11320,309216
11340,33295.1
11360,73029.3
11380,44808.5
11400,38065
11420,133134
11440,32782.5
11460,103300
11480,39923
11500,42021.2
11520,85938.7
11540,32942.9
11560,182754
11580,36668.1
11600,47980.4
11620,64410.6
11640,33793.1
11660,867880
11680,34551.3
11700,57261
11720,52356.1
11740,35425.3
11760,313407
11780,33303.7
11800,72822.7
11820,44868.2
11840,38033
11860,133886
11880,32784.3
11900,102861
11920,39962.7
11940,41973.2
11960,86236.7
11980,32938
12000,181336
12020,36694.4
12040,47907.4
12060,64566.4
12080,33781
12100,836336
12120,34567.9
12140,57144.4
12160,52449.3
12180,35404.6
12200,317715
12220,33312.4
12240,72617.3
12260,44928.2
12280,38001.1
12300,134646
12320,32786.1
12340,102427
12360,40002.6
12380,41925.4
12400,86537
12420,32933.1
12440,179940
12460,36720.9
12480,47834.7
12500,64723
12520,33768.9
12540,807007
12560,34584.5
12580,57028.3
12600,52543
12620,35383.9
12640,322142
12660,33321.2
12680,72413.3
12700,44988.4
12720,37969.3
12740,135416
12760,32788
12780,101997
12800,40042.6
12820,41877.8
12840,86839.6
12860,32928.3
12880,178566
12900,36747.4
12920,47762.3
12940,64880.6
12960,33756.9
12980,779666
13000,34601.2
13020,56912.8
13040,52637.1
13060,35363.4
13080,326696
13100,33330.1
13120,72210.6
13140,45048.8
13160,37937.7
13180,136194
13200,32789.9
13220,101570
13240,40082.8
13260,41830.4
13280,87144.5
13300,32923.6
13320,177214
13340,36774.1
13360,47690.3
13380,65039.1
13400,33745
13420,754118
13440,34618
13460,56797.9
13480,52731.6
13500,35343
13520,331381
13540,33339
13560,72009.1
13580,45109.6
13600,37906.2
13620,136982
13640,32792
13660,101147
13680,40123.1
13700,41783.2
13720,87451.7
13740,32918.9
13760,175882
13780,36800.9
13800,47618.6
13820,65198.5
13840,33733.2
13860,730193
13880,34634.9
13900,56683.6
13920,52826.6
13940,35322.6
13960,336203
13980,33348
14000,71808.9
14020,45170.5
14040,37874.8
14060,137779
14080,32794.1
14100,100728
14120,40163.6
14140,41736.2
14160,87761.3
14180,32914.4
14200,174570
14220,36827.8
14240,47547.2
14260,65358.8
14280,33721.4
14300,707741
14320,34651.9
14340,56569.9
14360,52922
14380,35302.4
14400,341168
14420,33357.1
14440,71610
14460,45231.7
14480,37843.6
14500,138586
14520,32796.2
14540,100313
14560,40204.3
14580,41689.3
14600,88073.3
14620,32909.8
14640,173278
14660,36854.8
14680,47476
14700,65520
14720,33709.7
14740,686630
14760,34669
14780,56456.7
14800,53017.9
14820,35282.2
14840,346283
14860,33366.2
14880,71412.3
14900,45293.2
14920,37812.4
14940,139402
14960,32798.5
