hz,magnitude
8140,18.9783
8160,1.71139
8180,1.07486
8200,1.0195
8220,1.38921
8240,4.34492
8260,3.00633
8280,1.2662
8300,1.00398
8320,1.12875
8340,2.0225
8360,18.4794
8380,1.70801
8400,1.07426
8420,1.01979
8440,1.39112
8460,4.37126
8480,2.99424
8500,1.26481
8520,1.00385
8540,1.12959
8560,2.02758
8580,18.006
8600,1.70465
8620,1.07366
8640,1.02008
8660,1.39304
8680,4.39793
8700,2.98225
8720,1.26341
8740,1.00373
8760,1.13044
8780,2.03269
8800,17.5563
8820,1.7013
8840,1.07306
8860,1.02038
8880,1.39497
8900,4.42493
8920,2.97036
8940,1.26203
8960,1.0036
8980,1.13129
9000,2.03783
9020,17.1286
9040,1.69797
9060,1.07247
9080,1.02067
9100,1.39691
9120,4.45228
9140,2.95858
9160,1.26064
9180,1.00348
9200,1.13214
9220,2.043
9240,16.7212
9260,1.69466
9280,1.07188
9300,1.02097
9320,1.39885
9340,4.47998
9360,2.94689
9380,1.25927
9400,1.00337
9420,1.133
9440,2.0482
9460,16.3329
9480,1.69137
9500,1.07129
9520,1.02127
9540,1.40081
9560,4.50803
9580,2.9353
9600,1.2579
9620,1.00325
9640,1.13386
9660,2.05344
9680,15.9621
9700,1.68809
9720,1.07071
9740,1.02157
9760,1.40277
9780,4.53645
9800,2.9238
9820,1.25653
9840,1.00313
9860,1.13473
9880,2.0587
9900,15.6079
9920,1.68482
9940,1.07012
9960,1.02188
9980,1.40474
10000,4.56523
10020,2.91241
10040,1.25517
10060,1.00302
10080,1.1356
10100,2.06399
10120,15.269
10140,1.68158
10160,1.06954
10180,1.02219
10200,1.40672
10220,4.59439
10240,2.9011
10260,1.25382
10280,1.00291
10300,1.13647
10320,2.06932
10340,14.9446
10360,1.67835
10380,1.06897
10400,1.0225
10420,1.4087
10440,4.62394
10460,2.88989
10480,1.25247
10500,1.0028
10520,1.13734
10540,2.07467
10560,14.6338
10580,1.67513
10600,1.06839
10620,1.02281
10640,1.4107
10660,4.65388
10680,2.87878
10700,1.25113
10720,1.0027
10740,1.13822
10760,2.08006
10780,14.3356
10800,1.67193
10820,1.06782
10840,1.02312
10860,1.4127
10880,4.68422
10900,2.86775
10920,1.24979
10940,1.00259
10960,1.13911
10980,2.08549
11000,14.0493
11020,1.66875
11040,1.06725
11060,1.02344
11080,1.41472
11100,4.71497
11120,2.85681
11140,1.24846
11160,1.00249
11180,1.13999
11200,2.09094
11220,13.7743
11240,1.66558
11260,1.06669
11280,1.02376
11300,1.41674
11320,4.74613
11340,2.84596
11360,1.24713
11380,1.00239
11400,1.14089
11420,2.09643
11440,13.5099
11460,1.66243
11480,1.06613
11500,1.02408
11520,1.41877
11540,4.77771
11560,2.8352
11580,1.24581
11600,1.00229
11620,1.14178
11640,2.10195
11660,13.2555
11680,1.65929
11700,1.06557
11720,1.0244
11740,1.42081
11760,4.80973
11780,2.82453
11800,1.24449
11820,1.0022
11840,1.14268
11860,2.1075
11880,13.0105
11900,1.65617
11920,1.06501
11940,1.02473
11960,1.42286
11980,4.8422
12000,2.81394
12020,1.24318
12040,1.0021
12060,1.14358
12080,2.11309
12100,12.7744
12120,1.65306
12140,1.06445
12160,1.02505
12180,1.42491
12200,4.87511
12220,2.80344
12240,1.24188
12260,1.00201
12280,1.14449
12300,2.11871
12320,12.5468
12340,1.64997
12360,1.0639
12380,1.02538
12400,1.42698
12420,4.90848
12440,2.79302
12460,1.24058
12480,1.00192
12500,1.1454
12520,2.12436
12540,12.3271
12560,1.64689
12580,1.06335
12600,1.02572
