hz,magnitude
5900,1.02814e-12
5920,8.81599e-13
5940,1.04655e-12
5960,1.30809e-12
5980,1.3178e-13
6000,3.391e-13
6020,1.40648e-12
6040,7.51972e-13
6060,7.02054e-13
6080,8.07372e-13
6100,5.41626e-13
6120,1.14268e-12
6140,8.24366e-13
6160,2.64632e-13
6180,5.58239e-13
6200,8.24197e-13
6220,6.48749e-13
6240,1.53197e-12
6260,5.50091e-13
6280,1.69742e-12
6300,7.20665e-13
6320,2.3108e-12
6340,8.7689e-13
6360,1.84307e-12
6380,3.62828e-13
6400,1.51912e-12
6420,7.18123e-13
6440,2.74906e-13
6460,1.69366e-12
6480,3.67798e-12
6500,1.10616e-12
6520,2.35949e-12
6540,1.41186e-13
6560,5.28083e-13
6580,2.87696e-13
6600,1.12454e-12
6620,1.49222e-12
6640,1.18797e-12
6660,1.93711e-12
6680,4.65395e-13
6700,1.05252e-12
6720,1.34004e-12
6740,4.20171e-12
6760,3.80137e-13
6780,3.39306e-13
6800,5.96623e-13
6820,1.46863e-12
6840,8.56617e-13
6860,1.15888e-12
6880,1.68599e-12
6900,1.02471e-12
6920,2.29933e-12
6940,4.30353e-13
6960,9.88797e-13
6980,2.00279e-12
7000,6.60352e-13
7020,7.47804e-13
7040,2.06891e-12
7060,1.62803e-12
7080,6.36234e-12
7100,2.0575e-12
7120,3.02175e-12
7140,6.1906e-13
7160,3.47506e-12
7180,9.03744e-13
7200,2.01925e-12
7220,1.03865e-12
7240,1.51035e-12
7260,5.98496e-13
7280,1.42829e-12
7300,4.68159e-13
7320,3.33147e-13
7340,4.72708e-12
7360,1.21235e-12
7380,1.33239e-12
7400,5.43864e-13
7420,3.59715e-12
7440,1.58583e-12
7460,5.50079e-13
7480,1.45705e-12
7500,1.1715e-12
7520,1.76596e-12
7540,5.8844e-13
7560,2.69194e-12
7580,1.15049e-12
7600,2.61238e-12
7620,2.59811e-13
7640,8.21645e-12
7660,3.28626e-12
7680,1.39973e-12
7700,3.73757e-12
7720,1.50616e-12
7740,3.94167e-13
7760,4.75687e-12
7780,1.39588e-12
7800,1.8895e-12
7820,8.64396e-13
7840,9.80512e-14
7860,1.28092e-12
7880,2.36816e-12
7900,2.8666e-12
7920,1.40128e-12
7940,1.09225e-12
7960,2.27458e-12
7980,1.18284e-12
8000,6.72397e-13
8020,8.18035e-13
8040,7.16285e-12
8060,8.61809e-12
8080,1.08993e-12
8100,6.4944e-13
8120,3.31875e-13
8140,4.18611e-13
8160,1.22496e-12
8180,5.18271e-13
8200,3.13555e-12
8220,2.86804e-12
8240,2.29619e-12
8260,2.18423e-12
8280,2.07038e-12
8300,6.89413e-13
8320,1.20119e-12
8340,2.13341e-12
8360,4.71928e-13
8380,7.14064e-13
8400,9.00284e-13
8420,1.43082e-12
8440,7.33339e-13
8460,1.38259e-11
8480,2.05737e-12
8500,7.62555e-13
8520,2.24325e-12
8540,1.12216e-11
8560,1.20946e-12
8580,1.35508e-12
8600,1.08645e-12
8620,6.22571e-13
8640,1.03514e-12
8660,7.23119e-13
8680,3.95129e-13
8700,2.23036e-12
8720,5.09564e-12
8740,8.65003e-13
8760,3.91181e-12
8780,7.06152e-13
8800,8.26891e-13
8820,1.23068e-12
8840,1.30731e-12
8860,4.30418e-13
8880,1.29478e-12
8900,1.37457e-12
8920,2.89295e-12
8940,3.43841e-12
8960,9.38117e-13
8980,2.00469e-12
9000,1.1333e-12
9020,4.80053e-13
9040,8.04469e-13
9060,4.43809e-13
9080,1.42476e-12
9100,1.10409e-12
9120,7.73312e-13
9140,1.60033e-12
9160,1.11704e-12
9180,1.00781e-11
9200,1.49853e-12
9220,1.04181e-12
9240,9.33308e-13
9260,4.45354e-13
9280,2.97735e-13
9300,2.82286e-12
9320,1.50981e-12
9340,7.07322e-12
9360,3.16122e-13
9380,1.34924e-12
9400,1.54149e-12
9420,6.12886e-13
9440,3.60074e-12
9460,3.61158e-13
9480,9.44122e-13
9500,1.09069e-12
9520,1.06796e-12
9540,2.993e-12
9560,1.7549e-12
9580,1.58976e-13
9600,4.61995e-13
9620,2.91586e-12
9640,1.6645e-12
9660,8.93061e-13
9680,2.72498e-13
9700,1.92506e-12
9720,3.3835e-13
9740,3.51852e-12
9760,2.2104e-12
